location	strings	target	target-marathi-final
QgsComposerScaleBarWidgetBase#28	Join style	जोड शैली	
QgsComposerScaleBarWidgetBase#29	Cap style	कैप शैली	
QgsComposerScaleBarWidgetBase#30	Alignment	संरेखण	
QgsComposerScaleBarWidgetBase#31	Fonts and colors	लिपियां और रंग	
QgsComposerScaleBarWidgetBase#32	Font color	लिपि का रंग	
QgsComposerScaleBarWidgetBase#33	Fill color	भराव रंग	
QgsComposerScaleBarWidgetBase#34	Secondary fill color	द्वितीयक भराव रंग	
QgsComposerScaleBarWidgetBase#35	Line color		
QgsComposerScaleBarWidgetBase#36	Font...	लिपि...	
QgsComposerShape#1	<ellipse>	<ellipse>	
QgsComposerShape#2	<rectangle>	<rectangle>	
QgsComposerShape#3	<triangle>	<triangle>	
QgsComposerShape#4	<shape>	<shape>	
QgsComposerShapeWidget#1	Ellipse	दीर्घवृत्त	
QgsComposerShapeWidget#2	Rectangle	आयत	
QgsComposerShapeWidget#3	Triangle	त्रिभुज	
QgsComposerShapeWidget#4	Shape style changed	शेप शैली परिवर्तित	
QgsComposerShapeWidget#5	Shape radius changed	शेप त्रिज्या बदल गयी है	
QgsComposerShapeWidget#6	Shape type changed	शेप प्रकार परिवर्तित	
QgsComposerShapeWidgetBase#1	Form	प्रपत्र	
QgsComposerShapeWidgetBase#2	Shape	शेप	
QgsComposerShapeWidgetBase#3	Main properties	प्रधान विशेषतायें	
QgsComposerShapeWidgetBase#4	Corner radius	कोने के त्रिज्या	
QgsComposerShapeWidgetBase#5	mm	मिमी	
QgsComposerShapeWidgetBase#6	Style	शैली	
QgsComposerShapeWidgetBase#7	Change...	बदलें...	
QgsComposerTableBackgroundColorsDialog#1	Table background customisation		
QgsComposerTableBackgroundColorsDialog#2	Select background color	पार्श्व रंग चयन करें	
QgsComposerTableBackgroundColorsDialog#3	No background	कोई पार्श्व नहीं	
QgsComposerTableBackgroundDialog#1	Table Background Colors		
QgsComposerTableBackgroundDialog#2	Odd rows		
QgsComposerTableBackgroundDialog#3	Header row		
QgsComposerTableBackgroundDialog#4	<html><head/><body><p>Check options to enable shading for matching cells. Options lower in this list will take precedence over higher options. Eg, if both &quot;<span style=" font-style:italic;">First row</span>&quot; and &quot;<span style=" font-style:italic;">Odd rows</span>&quot; are checked, the cells in the first row will be shaded using the color specified for &quot;<span style=" font-style:italic;">First row</span>&quot;.</p></body></html>		
QgsComposerTableBackgroundDialog#5	Last column		
QgsComposerTableBackgroundDialog#6	Odd columns		
QgsComposerTableBackgroundDialog#7	Even rows		
QgsComposerTableBackgroundDialog#8	Even columns		
QgsComposerTableBackgroundDialog#9	First row		
QgsComposerTableBackgroundDialog#10	First column		
QgsComposerTableBackgroundDialog#11	Last row		
QgsComposerTableBackgroundDialog#12	Default cell background		
QgsComposerTableSortColumnsProxyModel#1	Descending	अवरोही	
QgsComposerTableSortColumnsProxyModel#2	Ascending	आरोही	
QgsComposerTableSortColumnsProxyModel#3	Attribute	गुणधर्म	
QgsComposerTableSortColumnsProxyModel#4	Sort Order	छंटाई क्रम	
QgsComposerTableSortColumnsProxyModelV2#1	Descending	अवरोही	
QgsComposerTableSortColumnsProxyModelV2#2	Ascending	आरोही	
QgsComposerTableSortColumnsProxyModelV2#3	Attribute	गुणधर्म	
QgsComposerTableSortColumnsProxyModelV2#4	Sort Order	छंटाई क्रम	
QgsComposerTableV2#1	No matching records	कोई मिलती हुई पंक्तियां नहीं	
QgsComposerTableWidget#1	Map %1	मैप %1	
QgsComposerTableWidget#2	Table grid line		
QgsComposerTableWidget#3	Table feature filter toggled	टेबल नक्‍शा-अनुभाग फिल्‍टर टॉगल	
QgsComposerTableWidget#4	Table feature filter modified	टेबल नक्‍शा-अनुभाग फिल्‍टर संशोधित	
QgsComposerTableWidget#5	Expression based filter	एक्सप्रेशन आधारित फिल्‍टर	
QgsComposerTableWidget#6	Table header alignment changed	टेबल हैडर संरेखण परिवर्तित	
QgsComposerTableWidget#7	Table layer changed	टेबल लेयर परि‍वर्तित	
QgsComposerTableWidget#8	Table attribute settings	टेबल गुणधर्म समायोजन	
QgsComposerTableWidget#9	Select header font color	हैडर लिपि रंग चयन करें	
QgsComposerTableWidget#10	Select content font color	सामग्री लिपि रंग चयन करें	
QgsComposerTableWidget#11	Table map changed	टेबल मैप परिवर्तित्‍ा	
QgsComposerTableWidget#12	Table maximum columns	टेबल के अधिकतम कॉलम	
QgsComposerTableWidget#13	Select Font	लिपि चयन करें	
QgsComposerTableWidget#14	Table header font	टेबल हैडर लिपि	
QgsComposerTableWidget#15	Table header font color	टेबल हैडर लिपि रंग	
QgsComposerTableWidget#16	Table content font	टेबल सामग्री लिपि	
QgsComposerTableWidget#17	Table content font color	टेबल सामग्री लिपि रंग	
QgsComposerTableWidget#18	Select grid color	ग्रिड का रंग चयन करें	
QgsComposerTableWidget#19	Table grid color	टेबल की ग्रिड का रंग	
QgsComposerTableWidget#20	Table grid toggled	टेबल ग्रिड टाॅगल	
QgsComposerTableWidget#21	Table visible only toggled	केवल दृश्‍यमान टेबल टॉगल	
QgsComposerTableWidgetBase#1	Attribute Table	गुणधर्म टेबल	
QgsComposerTableWidgetBase#2	Attribute table	गुणधर्म टेबल	
QgsComposerTableWidgetBase#3	Main properties	प्रधान विशेषतायें	
QgsComposerTableWidgetBase#4	Layer	लेयर	
QgsComposerTableWidgetBase#5	Attributes...	गुणधर्म...	
QgsComposerTableWidgetBase#6	Feature filtering	नक्‍शा अनुभाग फिल्‍टर हो रहा	
QgsComposerTableWidgetBase#7	Composer map	रचयिता मैप	
QgsComposerTableWidgetBase#8	Line width		
QgsComposerTableWidgetBase#9	Color	रंग	
QgsComposerTableWidgetBase#10	Fonts and text styling	लिपियां और वाक्‍य शैलियां	
QgsComposerTableWidgetBase#11	Table heading	टेबल शीर्षक	
QgsComposerTableWidgetBase#12	Alignment	संरेखण	
QgsComposerTableWidgetBase#13	Font	लिपि	
QgsComposerTableWidgetBase#14	Choose font...	लिपि चुनें...	
QgsComposerTableWidgetBase#15	Table contents	टेबल सामग्री	
QgsComposerTableWidgetBase#16	Maximum rows	अधिकतम पंक्तियां	
QgsComposerTableWidgetBase#17	Margin	हाशिया	
QgsComposerTableWidgetBase#18	Show only visible features	केवल दृश्‍यमान नक्‍शा-अनुभागों को दिखायें	
QgsComposerTableWidgetBase#19	Refresh table data	टेबल डेटा ताजा करें	
QgsComposerTableWidgetBase#20	Filter with	के साथ फिल्टर करें	
QgsComposerTableWidgetBase#21	...	...	
QgsComposerTableWidgetBase#22	mm	मिमी	
QgsComposerTableWidgetBase#23	Show grid	ग्रिड दिखायें	
QgsComposerTableWidgetBase#24	Follow column alignment	कॉलम संरेखण अनुसरण करें	
QgsComposerTableWidgetBase#25	Left	बायां	
QgsComposerTableWidgetBase#26	Center	मध्य	
QgsComposerTableWidgetBase#27	Right	दायां	
QgsComposerVectorLegendBase#1	Vector Legend Options	वेक्‍टर लिजेंड विकल्‍प	
QgsComposerVectorLegendBase#2	Preview	पूर्वदर्शन	
QgsComposerVectorLegendBase#3	Map	मैप	
QgsComposerVectorLegendBase#4	Title	शीर्षक	
QgsComposerVectorLegendBase#5	Layers	लेयर	
QgsComposerVectorLegendBase#6	Group	समूह	
QgsComposerVectorLegendBase#7	ID	ID	
QgsComposerVectorLegendBase#8	Box	बॉक्‍स	
QgsComposerVectorLegendBase#9	Font	लिपि	
QgsComposerView#1	QGIS	क्यू.जी.आई.एस.	
QgsComposerView#2	Label added	लेबल जोड़ा गया	
QgsComposerView#3	Scale bar added	पैमाना पट्टी जोड़ी गयी	
QgsComposerView#4	Legend added	लिजेंड जोड़ा गया	
QgsComposerView#5	Picture added	तस्‍वीर जोड़ी गयी	
QgsComposerView#6	Table added	टेबल जोड़ी गयी	
QgsComposerView#7	Shape added	शेप जोड़ी गयी	
QgsComposerView#8	Move item node		
QgsComposerView#9	Polygon added		
QgsComposerView#10	Polyline added		
QgsComposerView#11	Move item content	वस्‍तु सामग्री खिसकाएँ	
QgsComposerView#12	Arrow added	तीर जोड़ा गया	
QgsComposerView#13	Map added	मैप जोड़ा गया	
QgsComposerView#14	Attribute table added	गुणधर्म टेबल जोड़ी गयी	
QgsComposerView#15	Attribute table frame added	गुणधर्म टेबल फ्रेम जोड़े गये	
QgsComposerView#16	HTML item added		
QgsComposerView#17	HTML frame added		
QgsComposerView#18	Add item node		
QgsComposerView#19	Remove item node		
QgsComposerView#20	Item moved	वस्‍तु खिसकाई गयी	
QgsComposerView#21	Zoom item content	वस्‍तु सामग्री ज़ूम करें	
QgsComposition#1	Label added	लेबल जोड़ा गया	
QgsComposition#2	Map added	मैप जोड़ा गया	
QgsComposition#3	Arrow added	तीर जोड़ा गया	
QgsComposition#4	Scale bar added	पैमाना पट्टी जोड़ी गयी	
QgsComposition#5	Shape added	शेप जोड़ी गयी	
QgsComposition#6	Polygon added		
QgsComposition#7	Polyline added		
QgsComposition#8	Picture added	तस्‍वीर जोड़ी गयी	
QgsComposition#9	Legend added	लिजेंड जोड़ा गया	
QgsComposition#10	Table added	टेबल जोड़ी गयी	
QgsComposition#11	Group added		
QgsComposition#12	Aligned items left	वस्‍तुयें बायीं ओर संरेखित	
QgsComposition#13	Aligned items horizontal center	वस्‍तुयें क्षैतिज मध्य की ओर संरेखित	
QgsComposition#14	Aligned items vertical center	वस्‍तुयें लम्‍बवत मध्य की ओर संरेखित	
QgsComposition#15	Aligned items right	वस्‍तुयें दायीं ओर संरेखित	
QgsComposition#16	Aligned items top	वस्‍तुयें शीर्ष की ओर संरेखित	
QgsComposition#17	Aligned items bottom	वस्‍तुयें नीचे की ओर संरेखित	
QgsComposition#18	Items locked	वस्‍तुयें लॉक की गयी	
QgsComposition#19	Items unlocked	वस्‍तुयें अनलॉक की गयी	
QgsComposition#20	Items grouped		
QgsComposition#21	Items ungrouped		
QgsComposition#22	Item z-order changed	वस्‍तु z-क्रम परिवर्तित	
QgsComposition#23	Remove item group	वस्‍तु समूह को हटायें	
QgsComposition#24	Frame deleted	फ्रेम मिटाया गया	
QgsComposition#25	Item deleted	वस्‍तु मिटायी	
QgsComposition#26	Multiframe removed	बहुफ्रेम हटाये गये	
QgsCompositionBase#1	Composition	रचना	
QgsCompositionBase#2	Paper	कागज	
QgsCompositionBase#3	Size	आकार	
QgsCompositionBase#4	Units	इकाइयॉ	
QgsCompositionBase#5	Width	चौड़ाई	
QgsCompositionBase#6	Height	ऊंचाई	
QgsCompositionBase#7	Orientation	अभिविन्यास	
QgsCompositionWidget#1	mm	मिमी	
QgsCompositionWidget#2	inch	इंच	
QgsCompositionWidget#3	Landscape	भू-दृश्‍य	
QgsCompositionWidget#4	Portrait	खड़ा दृश्‍य	
QgsCompositionWidget#5	A5 (148x210 mm)	A5 (148x210 मिमी)	
QgsCompositionWidget#6	A4 (210x297 mm)	अ4 (210x297 मिमी)	
QgsCompositionWidget#7	A3 (297x420 mm)	A3 (297x420 मिमी)	
QgsCompositionWidget#8	A2 (420x594 mm)	A2 (420x594 मिमी)	
QgsCompositionWidget#9	A1 (594x841 mm)	A1 (594x841 मिमी)	
QgsCompositionWidget#10	A0 (841x1189 mm)	A0 (841x1189 मिमी)	
QgsCompositionWidget#11	B5 (176 x 250 mm)	B5 (176 x 250 मिमी)	
QgsCompositionWidget#12	B4 (250 x 353 mm)	ब4 (250 x 353 मिमी)	
QgsCompositionWidget#13	B3 (353 x 500 mm)	B3 (353 x 500 मिमी)	
QgsCompositionWidget#14	B2 (500 x 707 mm)	B2 (500 x 707 मिमी)	
QgsCompositionWidget#15	B1 (707 x 1000 mm)	B1 (707 x 1000 मिमी)	
QgsCompositionWidget#16	B0 (1000 x 1414 mm)	B0 (1000 x 1414 मिमी)	
QgsCompositionWidget#17	Legal (8.5x14 in)	लिगल (8.5x14 इंच)	
QgsCompositionWidget#18	ANSI A (Letter	8.5x11 in)	
QgsCompositionWidget#19	ANSI B (Tabloid	11x17 in)	
QgsCompositionWidget#20	ANSI C (17x22 in)	ANSI स (17x22 इंच)	
QgsCompositionWidget#21	ANSI D (22x34 in)	ANSI द (22x34 इंच)	
QgsCompositionWidget#22	ANSI E (34x44 in)	ANSI य (34x44 इंच)	
QgsCompositionWidget#23	Arch A (9x12 in)	आर्च अ (9x12 इंच)	
QgsCompositionWidget#24	Arch B (12x18 in)	आर्च ब (12x18 इंच)	
QgsCompositionWidget#25	Arch C (18x24 in)	आर्च स (18x24 इंच)	
QgsCompositionWidget#26	Arch D (24x36 in)	आर्च द (24x36 इंच)	
QgsCompositionWidget#27	Arch E (36x48 in)	आर्च य (36x48 इंच)	
QgsCompositionWidget#28	Arch E1 (30x42 in)	आर्च य1 (30x42 इंच)	
QgsCompositionWidget#29	Custom	कस्टम	
QgsCompositionWidgetBase#1	Composition	रचना	
QgsCompositionWidgetBase#2	Presets	पूर्वसेट	
QgsCompositionWidgetBase#3	...	...	
QgsCompositionWidgetBase#4	Width	चौड़ाई	
QgsCompositionWidgetBase#5	Height	ऊंचाई	
QgsCompositionWidgetBase#6	Units	इकाइयॉ	
QgsCompositionWidgetBase#7	Number of pages	पृष्ठों की संख्‍या	
QgsCompositionWidgetBase#8	Orientation	अभिविन्यास	
QgsCompositionWidgetBase#9	Export resolution	रिजॉल्यू‍शन निर्यात करें	
QgsCompositionWidgetBase#10	Print as raster	रास्टर के रूप में छपाई करें	
QgsCompositionWidgetBase#11	Variables	वेरिएबल	
QgsCompositionWidgetBase#12	Change...	बदलें...	
QgsCompositionWidgetBase#13	Page background	पृष्‍ठ पार्श्‍व	
QgsCompositionWidgetBase#14	If checked, a separate world file which georeferences exported images will be created		
QgsCompositionWidgetBase#15	Save world file		
QgsCompositionWidgetBase#16	Reference map		
QgsCompositionWidgetBase#17	Specifies the map which is used to georeference composer exports		
QgsCompositionWidgetBase#18	Snap tolerance	चिपकन सहनसीमा	
QgsCompositionWidgetBase#19	px	पिक्‍सल	
QgsCompositionWidgetBase#20	dpi	बिंदु प्रति इंच	
QgsCompositionWidgetBase#21	Page size		
QgsCompositionWidgetBase#22	Resize page to content		
QgsCompositionWidgetBase#23	Top margin (mm)		
QgsCompositionWidgetBase#24	Left	बायां	
QgsCompositionWidgetBase#25	Right	दायां	
QgsCompositionWidgetBase#26	Bottom	नीचे	
QgsCompositionWidgetBase#27	Resize page		
QgsCompositionWidgetBase#28	Page settings		
QgsCompositionWidgetBase#29	Export settings		
QgsCompositionWidgetBase#30	Guides and Grid	मार्गदर्शन और ग्रिड	
QgsCompositionWidgetBase#31	Grid spacing	ग्रिड अंतराल	
QgsCompositionWidgetBase#32	mm	मिमी	
QgsCompositionWidgetBase#33	Grid offset	ग्रिड खिसकन	
QgsCompositionWidgetBase#34	x:	x:	
QgsCompositionWidgetBase#35	y:	y:	
QgsCompoundColorWidget#1	Select palette file	पैलेट फाइल चयन करें	
QgsCompoundColorWidget#2	Invalid file	अवैध फाइल	
QgsCompoundColorWidget#3	Error, file does not exist or is not readable	गलती, फाइल अस्तित्‍व में नहीं या पढ़नेयोग्‍य नहीं	
QgsCompoundColorWidget#4	Error, no colors found in palette file	गलती, पैलेट फाइल में कोई रंग नहीं पाया	
QgsCompoundColorWidget#5	Palette file is not readable	पैलेट फाइल पढ़नेयोग्‍य नहीं	
QgsCompoundColorWidget#6	No colors found in palette file	पैलेट फाइल में कोई रंग नहीं पाया	
QgsCompoundColorWidget#7	Remove Color Palette	रंग पैलेट हटायें	
QgsCompoundColorWidget#8	Are you sure you want to remove %1?	क्‍या आप %1 को हटाने के लिये आश्‍वस्‍त हैं?	
QgsCompoundColorWidget#9	Create New Palette	नयी पैलेट बनायें	
QgsCompoundColorWidget#10	Enter a name for the new palette:	नयी पैलेट के लिये नाम डालें:	
QgsCompoundColorWidget#11	New palette	नयी पैलेट	
QgsCompoundColorWidget#12	new_palette	नयी_पैलेट	
QgsCompoundColorWidget#13	Palette file	पैलेट फाइल	
QgsCompoundColorWidget#14	Error exporting	निर्यात करने में गलती	
QgsCompoundColorWidget#15	Error writing palette file	पैलेट फाइल लिखने में गलती	
QgsCompoundColorWidgetBase#1	H	H	
QgsCompoundColorWidgetBase#2	S	द.	
QgsCompoundColorWidgetBase#3	V	V	
QgsCompoundColorWidgetBase#4	R	R	
QgsCompoundColorWidgetBase#5	G	G	
QgsCompoundColorWidgetBase#6	B	ग	
QgsCompoundColorWidgetBase#7	Opacity	अपारदर्शिता	
QgsCompoundColorWidgetBase#8	HTML notation	HTML नोटेशन	
QgsCompoundColorWidgetBase#9	Color ramp	रंग पट्टिका	
QgsCompoundColorWidgetBase#10	Color wheel	रंग चक्र	
QgsCompoundColorWidgetBase#11	Color swatches	रंग चकती	
QgsCompoundColorWidgetBase#12	...	...	
QgsCompoundColorWidgetBase#13	…		
QgsCompoundColorWidgetBase#14	Add current color		
QgsCompoundColorWidgetBase#15	Remove selected color		
QgsCompoundColorWidgetBase#16	Color picker	रंग चुननेवाला	
QgsCompoundColorWidgetBase#17	Sample average radius	नमूना औसत त्रिज्‍या	
QgsCompoundColorWidgetBase#18	px	पिक्‍सल	
QgsCompoundColorWidgetBase#19	Sample color	नमूना रंग	
QgsCompoundColorWidgetBase#20	<i>Press space to sample a color from under the mouse cursor</i>	<i>माउस कर्सर के नीचे से एक नमूना रंग लेने के लिये स्‍पेस दबायें</i>	
QgsCompoundColorWidgetBase#21	Current	वर्तमान	
QgsCompoundColorWidgetBase#22	Old	पुराना	
QgsCompoundColorWidgetBase#23	Add color to swatch		
QgsCompoundColorWidgetBase#24	Import Colors...	रंग लायें...	
QgsCompoundColorWidgetBase#25	Import colors from file	फाइल से रंग लायें	
QgsCompoundColorWidgetBase#26	Export Colors...	रंग निर्यात करें...	
QgsCompoundColorWidgetBase#27	Export colors to file	रंग फाइल में निर्यात करें	
QgsCompoundColorWidgetBase#28	Paste Colors	रंगों को चिपकायें	
QgsCompoundColorWidgetBase#29	Paste colors from clipboard	क्लिपबोर्ड में से रंगों को चिपकायें	
QgsCompoundColorWidgetBase#30	Import Palette...	पैलेट लायें...	
QgsCompoundColorWidgetBase#31	Import palette from file	फाइल से पैलेट लायें	
QgsCompoundColorWidgetBase#32	Remove Palette	पैलेट हटायें	
QgsCompoundColorWidgetBase#33	Remove current palette	वर्तमान पैलेट हटायें	
QgsCompoundColorWidgetBase#34	New Palette...	नयी पैलेट...	
QgsCompoundColorWidgetBase#35	Create a new palette	नयी पैलेट बनायें	
QgsCompoundColorWidgetBase#36	Copy Colors	रंगों को कॉपी करें	
QgsCompoundColorWidgetBase#37	Copy selected colors	चयनित रंगों को कॉपी करें	
QgsCompoundColorWidgetBase#38	Show in Color Buttons		
QgsConfigureShortcutsDialog#1	Configure shortcuts	शॉर्टकट कॉन्फ़िगर करें	
QgsConfigureShortcutsDialog#2	Keyboard Shortcuts		
QgsConfigureShortcutsDialog#3	Search...	खोजें...	
QgsConfigureShortcutsDialog#4	Action	क्रिया	
QgsConfigureShortcutsDialog#5	Shortcut	शॉर्टकट	
QgsConfigureShortcutsDialog#6	Change	बदलें	
QgsConfigureShortcutsDialog#7	Set none	कोई सेट नहीं	
QgsConfigureShortcutsDialog#8	Set default	स्वतः सैट करें	
QgsConfigureShortcutsDialog#9	Load...	लायें...	
QgsConfigureShortcutsDialog#10	Save...	संरक्षित करें...	
QgsConfigureShortcutsDialog#11	Save shortcuts	शॉर्टकट संरक्षित करें	
QgsConfigureShortcutsDialog#12	XML file	XML फाइल	
QgsConfigureShortcutsDialog#13	All files	सभी फाइलें	
QgsConfigureShortcutsDialog#14	Saving shortcuts	शॉर्टकट संरक्षित कर रहा	
QgsConfigureShortcutsDialog#15	Cannot write file %1: %2.	फाइल %1 नहीं लिख सकते: %2.	
QgsConfigureShortcutsDialog#16	Load shortcuts	शॉर्टकट लायें	
QgsConfigureShortcutsDialog#17	Loading shortcuts	शॉर्टकट ला रहा	
QgsConfigureShortcutsDialog#18	Cannot read file %1: %2.	फाइल %1 नहीं पढ़ सकते: %2.	
QgsConfigureShortcutsDialog#19	Parse error at line %1, column %2: %3	रेखा %1 पर पार्स गलती, कॉलम %2: %3	
QgsConfigureShortcutsDialog#20	The file is not an shortcuts exchange file.	फाइल ए‍क शॉर्टकट विनिमय फाइल नहीं है.	
QgsConfigureShortcutsDialog#21	The file contains shortcuts created with different locale, so you can't use it.	अलग लोकैल के साथ बनाये हुये शॉर्टकट फाइल में शामिल है, इसलिये आप इसे उपयोग नहीं कर सकते.	
QgsConfigureShortcutsDialog#22	None	कोई नहीं	
QgsConfigureShortcutsDialog#23	Set default (%1)	स्वतः सैट करें (%1)	
QgsConfigureShortcutsDialog#24	Input:	आगत:	
QgsConfigureShortcutsDialog#25	Shortcut conflict	शॉर्टकट टकराव	
QgsConfigureShortcutsDialog#26	This shortcut is already assigned to action %1. Reassign?	क्रिया %1 में शॉर्टकट पहले से ही निर्धारित है. पुन: निर्धारित करें?	
QgsContextHelp#1	Error starting help viewer [%1]	सहायता व्यूअर [%1] प्रारंभ करते हुये गलती	
QgsContextHelp#2	Context help	प्रसंग सहायता	
QgsContextHelp#3	<h3>Oops! QGIS can't find help for this form.</h3>The help file for %1 was not found for your language<br>If you would like to create it, contact the QGIS development team		
QgsCoordinateTransform#1	The source spatial reference system (CRS) is not valid. The coordinates can not be reprojected. The CRS is: %1	स्‍त्रोत भौगोलिक संदर्भ प्रणाली (CRS) वैध नहीं. निर्देशांक पुन:प्रक्षेपित नहीं हो सकते. CRS है: %1	
QgsCoordinateTransform#2	CRS	CRS	
QgsCoordinateTransform#3	The destination spatial reference system (CRS) is not valid. The coordinates can not be reprojected. The CRS is: %1	गंतव्‍य भौगोलिक संदर्भ प्रणाली (CRS) वैध नहीं है. निर्देशांक पुन:प्रक्षेपित नहीं हो सकते है. CRS है: %1	
QgsCoordinateTransform#4	inverse transform	प्रतिलोम रूपांतर	
QgsCoordinateTransform#5	forward transform	अग्र रूपांतर	
QgsCoordinateTransform#6	%1 of %2PROJ.4: %3 +to %4 Error: %5	%1 का %2प्रोज.4: %3 +से %4 गलती: %5	
QgsCptCityBrowserModel#1	Name	नाम	
QgsCptCityBrowserModel#2	Info	जानकारी	
QgsCptCityColorRampDialog#1	Error - cpt-city gradient files not found.  You have two means of installing them:  1) Install the "Color Ramp Manager" python plugin (you must enable Experimental plugins in the plugin manager) and use it to download latest cpt-city package. You can install the entire cpt-city archive or a selection for QGIS.  2) Download the complete archive (in svg format) and unzip it to your QGIS settings directory [%1] .  This file can be found at [%2] and current file is [%3]		
QgsCptCityColorRampDialog#2	Selections by theme	विषयवस्तु से चयन	
QgsCptCityColorRampDialog#3	All by author	सभी लेखक के द्वारा	
QgsCptCityColorRampDialog#4	All Ramps (%1)	सभी पट्टिकायें (%1)	
QgsCptCityColorRampDialog#5	%1 Directory Details		
QgsCptCityColorRampDialog#6	%1 Gradient Details		
QgsCptCityColorRampDialog#7	You can download a more complete set of cpt-city gradients by installing the "Color Ramp Manager" plugin (you must enable Experimental plugins in the plugin manager).		
QgsCptCityColorRampDialog#8	Download more cpt-city Gradients		
QgsCptCityColorRampDialogBase#1	Cpt-city Color Ramp		
QgsCptCityColorRampDialogBase#2	Selection and preview	चयन और पूर्वदर्शन	
QgsCptCityColorRampDialogBase#3	License	लाइसेंस	
QgsCptCityColorRampDialogBase#4	Palette	पैलेट	
QgsCptCityColorRampDialogBase#5	Path	पथ	
QgsCptCityColorRampDialogBase#6	Information	जानकारी	
QgsCptCityColorRampDialogBase#7	Author(s)	लेखक(s)	
QgsCptCityColorRampDialogBase#8	Source	स्रोत	
QgsCptCityColorRampDialogBase#9	Details	विवरण	
QgsCptCityColorRampDialogBase#10	Save as standard gradient	मानक प्रवणता की तरह संरक्षित करें	
QgsCptCityColorRampItem#1	colors	रंग	
QgsCptCityColorRampItem#2	discrete	भिन्‍न-भिन्‍न	
QgsCptCityColorRampItem#3	continuous	सतत	
QgsCptCityColorRampItem#4	continuous (multi)	सतत (बहु)	
QgsCptCityColorRampItem#5	variants	भिन्नतायें	
QgsCptCityColorRampV2Dialog#1	Selections by theme	विषयवस्तु से चयन	
QgsCptCityColorRampV2Dialog#2	All by author	सभी लेखक के द्वारा	
QgsCptCityColorRampV2Dialog#3	You can download a more complete set of cpt-city gradients by installing the "Color Ramp Manager" plugin (you must enable Experimental plugins in the plugin manager).		
QgsCptCityColorRampV2Dialog#4	All Ramps (%1)	सभी पट्टिकायें (%1)	
QgsCptCityColorRampV2Dialog#5	Error - cpt-city gradient files not found.  You have two means of installing them:  1) Install the "Color Ramp Manager" python plugin (you must enable Experimental plugins in the plugin manager) and use it to download latest cpt-city package. You can install the entire cpt-city archive or a selection for QGIS.  2) Download the complete archive (in svg format) and unzip it to your QGIS settings directory [%1] .  This file can be found at [%2] and current file is [%3]		
QgsCptCityColorRampV2Dialog#6	%1 directory details	%1 डायरेक्टरी विवरण	
QgsCptCityColorRampV2Dialog#7	%1 gradient details	%1 प्रवणता विवरण	
QgsCptCityColorRampV2DialogBase#1	cpt-city color ramp	सीपीटी-सिटी रंग पट्टिका	
QgsCptCityColorRampV2DialogBase#2	Selection and preview	चयन और पूर्वदर्शन	
QgsCptCityColorRampV2DialogBase#3	License	लाइसेंस	
QgsCptCityColorRampV2DialogBase#4	Palette	पैलेट	
QgsCptCityColorRampV2DialogBase#5	Path	पथ	
QgsCptCityColorRampV2DialogBase#6	Information	जानकारी	
QgsCptCityColorRampV2DialogBase#7	Author(s)	लेखक(s)	
QgsCptCityColorRampV2DialogBase#8	Source	स्रोत	
QgsCptCityColorRampV2DialogBase#9	Details	विवरण	
QgsCptCityColorRampV2DialogBase#10	Save as standard gradient	मानक प्रवणता की तरह संरक्षित करें	
QgsCrashDialog#1	Dialog	संवाद	
QgsCrashDialog#2	Copy Report		
QgsCrashDialog#3	Tell us something about when you got the crash		
QgsCrashDialog#4	Report Details		
QgsCrashDialog#5	Reload QGIS		
QgsCrashDialog#6	Quit	बाहर निकलें	
QgsCrashDialog#7	Header		
QgsCrashDialog#8	Message	संदेश	
QgsCrashDialog#9	Help Message		
QgsCrashDialog#10	Oh Uh!		
QgsCrashDialog#11	:( QGIS Crashed		
QgsCrashDialog#12	Sorry. It looks something unexpected happened that we didn't handle and QGIS crashed.		
QgsCrashDialog#13	Keen to help us fix bugs? <a href="http://qgis.org/en/site/getinvolved/development/bugreporting.html#bugs-features-and-issues">Follow the steps to help our developers.</a><br><br>You can also send us a helpful bug report using the Copy Report button <br>and opening a ticket at <a href="https://issues.qgis.org/">issues.qgis.org</a>		
QgsCredentialDialog#1	Enter Credentials	साख-पत्र डालें	
QgsCredentialDialog#2	Username	उपयोगकर्ता-नाम	
QgsCredentialDialog#3	Password	पासवर्ड	
QgsCredentialDialog#4	Show	दिखायें	
QgsCredentialDialog#5	Verify password		
QgsCredentialDialog#6	Store master password in your password manager		
QgsCredentialDialog#7	Do not forget it: NOT retrievable!		
QgsCredentialDialog#8	Saved for session, until app is quit.		
QgsCredentialDialog#9	Password attempts: #		
QgsCredentialDialog#10	Erase authentication database?		
QgsCredentialDialog#11	TextLabel	वाक्‍य लेबल	
QgsCredentialDialog#12	Realm	क्षेत्राधिकार	
QgsCredentialDialog#13	Required	जरूरी	
QgsCredentialDialog#14	Store/update the master password in your %1		
QgsCredentialDialog#15	Enter CURRENT master authentication password		
QgsCredentialDialog#16	Set NEW master authentication password		
QgsCredentialDialog#17	Password attempts: %1		
QgsCustomLayerOrderWidget#1	Control rendering order	प्रस्‍तुतिकरण क्रम नियंत्रण करें	
QgsCustomProjectionDialog#1	QGIS Custom Projection	क्यू.जी.आई.एस. कस्‍टम प्रक्षेपण	
QgsCustomProjectionDialog#2	This proj4 projection definition is not valid.	यह प्रोज4 प्रक्षेपण परिभाषा वैध नहीं है.	
